member_id,transaction_id,transaction_date,amount,category,is_sale,is_premium
TEST-M-0001,T-0001,2022-01-10,1200,枕頭,0,0
TEST-M-0001,T-0002,2023-03-15,1800,枕頭,0,1
TEST-M-0001,T-0003,2024-06-20,950,保潔墊,1,0
TEST-M-0001,T-0004,2024-11-05,1500,枕頭,0,0
TEST-M-0002,T-0005,2025-02-14,3200,床包組,0,1
TEST-M-0003,T-0006,2024-04-03,800,保潔墊,1,0
TEST-M-0003,T-0007,2025-04-03,900,保潔墊,0,0
TEST-M-0003,T-0008,2025-09-18,600,生活用品類,1,0
TEST-M-0004,T-0009,2022-01-01,4200,床墊,0,1
TEST-M-0004,T-0010,2022-05-01,1300,床包組,0,0
TEST-M-0004,T-0011,2023-01-01,4500,床墊,0,1
TEST-M-0004,T-0012,2023-05-01,1500,床包組,1,0
TEST-M-0004,T-0013,2024-01-01,4800,床墊,0,1
TEST-M-0004,T-0014,2024-05-01,1700,床包組,0,0
TEST-M-0004,T-0015,2025-01-01,5000,床墊,0,1
TEST-M-0004,T-0016,2025-05-01,1900,床包組,1,0
TEST-M-0004,T-0017,2025-09-01,1100,保潔墊,0,0
TEST-M-0004,T-0018,2025-12-01,5200,床墊,0,1
TEST-M-0005,T-0019,2025-07-07,350,生活用品類,1,0
TEST-M-0005,T-0020,2025-08-08,450,生活用品類,0,0
TEST-M-0006,T-0021,2023-02-02,2100,兩用被,0,1
TEST-M-0006,T-0022,2024-02-02,2200,兩用被,0,1
TEST-M-0006,T-0023,2025-02-02,2300,兩用被,0,1
TEST-M-0006,T-0024,2025-10-10,700,枕頭套,1,0
TEST-M-0007,T-0025,2025-03-01,500,枕頭套,0,0
TEST-M-0008,T-0026,2025-03-02,600,棉被,0,0
TEST-M-0009,T-0027,2025-03-03,700,床包組,0,0
TEST-M-0010,T-0028,2025-03-04,800,保潔墊,1,0
TEST-M-0011,T-0029,2025-03-05,900,生活用品類,0,0
TEST-M-0012,T-0030,2025-03-06,1000,枕頭,0,0
